Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-10-27,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2025-10-28,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-10-28,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-10-28,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-10-28,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-10-29,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-10-29,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-10-30,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-10-30,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-10-30,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-10-30,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-10-30,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-10-30,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-10-31,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-10-31,Departure,FMM,Memmingen,11:05,Wizz Air,W6
