Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-11-23,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-11-23,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-23,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-24,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-11-24,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-11-24,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2025-11-24,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2025-11-25,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-11-25,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-11-25,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-25,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-27,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-11-27,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-11-27,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-27,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-28,Arrival,FMM,Memmingen,10:30,Wizz Air,W6
2025-11-28,Departure,FMM,Memmingen,11:05,Wizz Air,W6
2025-11-29,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-11-29,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-11-29,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-29,Departure,DTM,Dortmund,13:00,Wizz Air,W6
2025-11-29,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2025-11-29,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2025-11-30,Arrival,FMM,Memmingen,09:30,Wizz Air,W6
2025-11-30,Departure,FMM,Memmingen,10:00,Wizz Air,W6
2025-11-30,Arrival,DTM,Dortmund,12:25,Wizz Air,W6
2025-11-30,Departure,DTM,Dortmund,13:00,Wizz Air,W6
