Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2026-01-12,Departure,CGN,Köln Bonn,06:15,Wizz Air,W6
2026-01-12,Arrival,CGN,Köln Bonn,11:00,Wizz Air,W6
2026-01-12,Departure,FMM,Memmingen,11:45,Wizz Air,W6
2026-01-12,Arrival,FMM,Memmingen,15:30,Wizz Air,W6
2026-01-12,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2026-01-12,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2026-01-12,Departure,MST,Maastricht,16:40,Wizz Air,W6
2026-01-12,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2026-01-13,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-13,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-13,Arrival,MLH,Basel,11:40,Wizz Air,W6
2026-01-13,Departure,MLH,Basel,12:15,Wizz Air,W6
2026-01-13,Departure,MMX,Malmö-Sturup,16:25,Wizz Air,W6
2026-01-13,Arrival,MMX,Malmö-Sturup,21:30,Wizz Air,W6
2026-01-15,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-15,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-15,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2026-01-15,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2026-01-16,Departure,CGN,Köln Bonn,06:15,Wizz Air,W6
2026-01-16,Arrival,CGN,Köln Bonn,11:00,Wizz Air,W6
2026-01-16,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2026-01-16,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2026-01-16,Departure,MST,Maastricht,16:40,Wizz Air,W6
2026-01-16,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2026-01-17,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2026-01-17,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2026-01-17,Arrival,MLH,Basel,11:40,Wizz Air,W6
