Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-12-18,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2025-12-19,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-19,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-19,Arrival,FMM,Memmingen,15:25,Wizz Air,W6
2025-12-19,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2025-12-19,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2025-12-19,Departure,MST,Maastricht,16:40,Wizz Air,W6
2025-12-20,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-20,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2025-12-20,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-20,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-20,Arrival,SAW,Istanbul,13:35,Pegasus Airlines,PC
2025-12-20,Departure,SAW,Istanbul,14:20,Pegasus Airlines,PC
2025-12-20,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2025-12-20,Departure,FMM,Memmingen,11:50,Wizz Air,W6
2025-12-20,Arrival,MMX,Malmö,21:30,Wizz Air,W6
2025-12-20,Departure,MMX,Malmö,16:25,Wizz Air,W6
2025-12-21,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-21,Departure,DTM,Dortmund,06:15,Wizz Air,W6
2025-12-21,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-21,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-21,Arrival,FMM,Memmingen,15:20,Wizz Air,W6
2025-12-21,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2025-12-21,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2025-12-21,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2025-12-22,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-22,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-22,Arrival,SAW,Istanbul,14:20,A Jet Airlines,VF
2025-12-22,Departure,SAW,Istanbul,15:20,A Jet Airlines,VF
2025-12-22,Arrival,FMM,Memmingen,15:30,Wizz Air,W6
2025-12-22,Departure,FMM,Memmingen,11:45,Wizz Air,W6
2025-12-22,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2025-12-22,Departure,MST,Maastricht,16:40,Wizz Air,W6
2025-12-23,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-23,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2025-12-23,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-23,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-23,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2025-12-23,Departure,FMM,Memmingen,12:05,Wizz Air,W6
2025-12-23,Arrival,MMX,Malmö,21:30,Wizz Air,W6
2025-12-23,Departure,MMX,Malmö,16:25,Wizz Air,W6
2025-12-24,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-24,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-24,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-24,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-24,Arrival,FMM,Memmingen,15:30,Wizz Air,W6
2025-12-24,Departure,FMM,Memmingen,11:45,Wizz Air,W6
2025-12-24,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2025-12-24,Departure,MST,Maastricht,16:40,Wizz Air,W6
2025-12-25,Arrival,DTM,Dortmund,11:00,Wizz Air,W6
2025-12-25,Departure,DTM,Dortmund,06:00,Wizz Air,W6
2025-12-25,Arrival,MLH,Basel,11:40,Wizz Air,W6
2025-12-25,Departure,MLH,Basel,12:15,Wizz Air,W6
2025-12-25,Arrival,FMM,Memmingen,15:50,Wizz Air,W6
2025-12-25,Departure,FMM,Memmingen,12:05,Wizz Air,W6
2025-12-25,Arrival,HAM,Hamburg,21:15,Wizz Air,W6
2025-12-25,Departure,HAM,Hamburg,16:25,Wizz Air,W6
2025-12-26,Arrival,CGN,Köln,11:00,Wizz Air,W6
2025-12-26,Departure,CGN,Köln,06:15,Wizz Air,W6
2025-12-26,Arrival,FMM,Memmingen,15:25,Wizz Air,W6
2025-12-26,Departure,FMM,Memmingen,11:35,Wizz Air,W6
2025-12-26,Arrival,MST,Maastricht,21:30,Wizz Air,W6
2025-12-26,Departure,MST,Maastricht,16:40,Wizz Air,W6
