Datum,Tip leta,IATA,Destinacija,Vrijeme,Avio kompanija,IATA kod aviokompanije
2025-06-16,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-16,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-16,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-16,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-16,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-16,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-16,Arrival,SAW,Istanbul,13:35,A Jet Airlines,VF
2025-06-16,Departure,SAW,Istanbul,14:35,A Jet Airlines,VF
2025-06-16,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-06-16,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-06-17,Arrival,AYT,Antalya,08:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-17,Departure,AYT,Antalya,09:00,"Freebird Freebird Airlines, THY Opet Havacilik Yakitlari A.S.",FH
2025-06-17,Arrival,AYT,Antalya,10:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-06-17,Departure,AYT,Antalya,11:25,"Corendon Airlines, THY Opet Havacilik Yakitlari A.S.",XC
2025-06-17,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
2025-06-17,Departure,DTM,Dortmund,12:20,Wizz Air,W6
2025-06-18,Arrival,FMM,Memmingen,09:25,Wizz Air,W6
2025-06-18,Departure,FMM,Memmingen,09:55,Wizz Air,W6
2025-06-18,Arrival,DTM,Dortmund,11:10,Wizz Air,W6
2025-06-18,Departure,DTM,Dortmund,11:40,Wizz Air,W6
2025-06-18,Arrival,MLH,Basel,12:00,Wizz Air,W6
2025-06-18,Departure,MLH,Basel,12:30,Wizz Air,W6
2025-06-18,Arrival,VIE,Vienna,15:05,Wizz Air,W6
2025-06-18,Departure,VIE,Vienna,15:40,Wizz Air,W6
2025-06-19,Arrival,FMM,Memmingen,09:40,Wizz Air,W6
2025-06-19,Departure,FMM,Memmingen,10:10,Wizz Air,W6
2025-06-19,Arrival,DTM,Dortmund,11:45,Wizz Air,W6
